artist,Min,Q1,Q3,Max,feature,IQR,Lower_Fence,Upper_Fence,out.of.range,unusual,description
All Get Out,1.13602507114,1.4109134376024999,1.8134703934175,4.12035322189,spectral_skewness,0.4025569558150002,0.8070780038799996,2.4173058271400003,FALSE,TRUE,Outlying
Manchester Orchestra,1.16037845612,1.60426712036,3.0003657341,6.74691963196,spectral_skewness,1.3960986137399998,-0.4898808002499997,5.094513654709999,FALSE,FALSE,Within Range
The Front Bottoms,0.873631238937,1.29638469219,1.73759019375,2.04340100288,spectral_skewness,0.44120550156000005,0.6345764398499999,2.39939844609,TRUE,TRUE,Out of Range
All Get Out,935.909057617,1476.4338378925002,1992.7810363774997,2520.04125977,spectral_rolloff,516.3471984849996,701.9130401650008,2767.301834104999,TRUE,TRUE,Out of Range
Manchester Orchestra,518.867919922,875.729858398,1358.70581055,2566.66723633,spectral_rolloff,482.975952152,151.26593017000005,2083.169738778,FALSE,FALSE,Within Range
The Front Bottoms,927.041259766,1370.90576172,1791.12548828,3190.28588867,spectral_rolloff,420.2197265599998,740.5761718800004,2421.4550781199996,TRUE,TRUE,Out of Range
All Get Out,0.00305313011631,0.0056380924070225,0.0072947404114525,0.00932195037603,spectral_energyband_middle_high,0.00165664800443,0.0031531204003775,0.0097797124180975,TRUE,TRUE,Out of Range
Manchester Orchestra,5.62088622246e-4,0.00322592677549,0.00625945394859,0.00898000784218,spectral_energyband_middle_high,0.0030335271731,-0.0013243639841599994,0.01080974470824,FALSE,FALSE,Within Range
The Front Bottoms,0.00383267272264,0.00531584955752,0.00689824996516,0.00986930914223,spectral_energyband_middle_high,0.0015824004076400002,0.0029422489460599996,0.00927185057662,TRUE,TRUE,Out of Range
All Get Out,10.9786834717,20.145056724550003,26.707357883475,33.2580451965,spectral_complexity,6.562301158924999,10.301604986162504,36.5508096218625,TRUE,TRUE,Out of Range
Manchester Orchestra,3.67030739784,12.4593400955,23.114780426,30.5031356812,spectral_complexity,10.6554403305,-3.523820400249999,39.097940921749995,FALSE,FALSE,Within Range
The Front Bottoms,11.9183702469,19.7038669586,22.9699344635,28.5667858124,spectral_complexity,3.2660675049000005,14.804765701249998,27.86903572085,TRUE,TRUE,Out of Range
All Get Out,836.20715332,1225.7217712425,1763.17913818,1967.61682129,spectral_centroid,537.4573669375002,419.53572083624965,2569.3651885862505,TRUE,FALSE,Out of Range
Manchester Orchestra,418.644165039,726.011901855,1364.52661133,2106.83129883,spectral_centroid,638.5147094749999,-231.76016235749978,2322.2986755425,FALSE,FALSE,Within Range
The Front Bottoms,924.401367188,1227.1796875,1655.51867676,2412.484375,spectral_centroid,428.33898926000006,584.6712036099999,2298.02716065,TRUE,FALSE,Out of Range
All Get Out,12.1103105545,21.622954368625,31.500226497675,38.9212341309,melbands_spread,9.877272129050002,6.8070461750499955,46.31613469125001,TRUE,FALSE,Out of Range
Manchester Orchestra,4.95815515518,12.4660024643,23.5736026764,39.4461860657,melbands_spread,11.1076002121,-4.19539785385,40.23500299455,FALSE,FALSE,Within Range
The Front Bottoms,14.9669589996,20.0864772797,26.3519020081,45.6108474731,melbands_spread,6.265424728400003,10.688340187099994,35.75003910070001,TRUE,TRUE,Out of Range
All Get Out,0.135898038745,0.16804105415975001,0.224615007639,0.325919121504,melbands_flatness_db,0.05657395347924998,0.08318012394087504,0.30947593785787497,TRUE,TRUE,Out of Range
Manchester Orchestra,0.137924492359,0.209992572665,0.331000506878,0.451513230801,melbands_flatness_db,0.12100793421299999,0.028480671345500003,0.5125124081975,FALSE,FALSE,Within Range
The Front Bottoms,0.147953659296,0.194533228874,0.226066380739,0.256404489279,melbands_flatness_db,0.031533151865,0.14723350107650002,0.2733661085365,TRUE,TRUE,Out of Range
All Get Out,-0.434698283672,-0.11941391602175,0.34174180775875,0.83578056097,erbbands_skewness,0.4611557237805,-0.8111475016925,1.0334753934295,TRUE,TRUE,Out of Range
Manchester Orchestra,-0.330092012882,0.130029439926,0.789577484131,1.6736959219,erbbands_skewness,0.659548044205,-0.8592926263815,1.7788995504385001,FALSE,FALSE,Within Range
The Front Bottoms,-0.701558887959,-0.092931099236,0.290175169706,0.797529101372,erbbands_skewness,0.383106268942,-0.667590502649,0.864834573119,TRUE,TRUE,Out of Range
All Get Out,0.130642801523,0.14423563331349998,0.16343331709499997,0.281939983368,erbbands_flatness_db,0.019197683781499997,0.11543910764124998,0.19222984276724997,FALSE,TRUE,Outlying
Manchester Orchestra,0.122596643865,0.153289109468,0.213401243091,0.305950015783,erbbands_flatness_db,0.060112133623,0.06312090903350001,0.30356944352549997,FALSE,FALSE,Within Range
The Front Bottoms,0.121074952185,0.139374062419,0.155038118362,0.185928940773,erbbands_flatness_db,0.015664055942999994,0.1158779785045,0.17853420227649996,TRUE,TRUE,Out of Range
All Get Out,0.396982818842,0.459913574159,0.475697234273,0.480492979288,dissonance,0.015783660113999953,0.4362380839880001,0.49937272444399994,FALSE,TRUE,Outlying
Manchester Orchestra,0.365194410086,0.424892038107,0.465431332588,0.480991095304,dissonance,0.04053929448100002,0.36408309638549996,0.5262402743095,FALSE,FALSE,Within Range
The Front Bottoms,0.432063788176,0.458952844143,0.470503538847,0.482941865921,dissonance,0.011550694703999997,0.441626802087,0.487829580903,TRUE,TRUE,Out of Range
